"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	0.743441374431835	0.54786328721775	15.7523654515993	0.001
"Residual"	26	0.613542004044393	0.452136712782249	NA	NA
"Total"	28	1.35698337847623	1	NA	NA
