"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	0.63361900032137	0.677037517642455	17.8188465048699	0.001
"Residual"	17	0.302250850034525	0.322962482357546	NA	NA
"Total"	19	0.935869850355894	1	NA	NA
