"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	1.18549854199287	0.56938660753678	17.1894930058646	0.001
"Residual"	26	0.896564025515433	0.43061339246322	NA	NA
"Total"	28	2.0820625675083	1	NA	NA
