"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	1.07644432702334	0.483959194642916	7.97156564318254	0.001
"Residual"	17	1.14780172293049	0.516040805357084	NA	NA
"Total"	19	2.22424604995383	1	NA	NA
